date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:01	932/932	---M--	200	added ('OK')	text/plain	date:Fri,%2022%20Feb%202019%2013:40:19%20GMT	http://quantum-holopedia.firmy.net/robots.txt		(from )
10:56:02	24985/24985	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Jan%202021%2009:56:01%20GMT	http://quantum-holopedia.firmy.net/produkty-i-uslugi.html	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/quantum-holopedia.firmy.net/produkty-i-uslugi.html	(from )
10:56:03	121348/121348	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Dec%202014%2010:48:36%20GMT	http://s.st-firmy.net/firmy/css/cold,1752e2ad5ee.css	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/s.st-firmy.net/firmy/css/cold,1752e2ad5ee.css	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:05	138393/138393	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2009:53:23%20GMT	http://s.st-firmy.net/firmy/css/desktop-business,a7d010f1463.css	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/s.st-firmy.net/firmy/css/desktop-business,a7d010f1463.css	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:06	2984/2984	---M--	200	added ('OK')	application/javascript	date:Tue,%2002%20Feb%202016%2007:47:19%20GMT	http://s.st-firmy.net/firmy/js/basic,d0190665b0b.js	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/s.st-firmy.net/firmy/js/basic,d0190665b0b.js	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:12	35101/35101	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Oct%202018%2008:00:30%20GMT	http://s.st-firmy.net/firmy/js/gMap,8b587eea80b.js	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/s.st-firmy.net/firmy/js/gMap,8b587eea80b.js	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Jan%202021%2009:56:11%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/www.googletagmanager.com/gtm.85445.delayed	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:13	4808/4808	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Mar%202019%2000:08:55%20GMT	http://i.st-firmy.net/9qq9bqm/logo.jpg	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/i.st-firmy.net/9qq9bqm/logo.jpg	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:13	40215/40215	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20May%202019%2011:21:32%20GMT	http://s.st-firmy.net/firmy/js/hot,bc2119cf3d0.js	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/s.st-firmy.net/firmy/js/hot,bc2119cf3d0.js	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:15	20918/20918	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Jan%202021%2009:56:13%20GMT	http://quantum-holopedia.firmy.net/oferta.html	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/quantum-holopedia.firmy.net/oferta.html	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
10:56:16	31510/31510	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Jan%202021%2009:56:13%20GMT	http://quantum-holopedia.firmy.net/	C:/Users/TimeWaver%20User/Videos/HolonIQ/firmz%20QH%20PiU/quantum-holopedia.firmy.net/index.html	(from http://quantum-holopedia.firmy.net/produkty-i-uslugi.html)
